year,boeing_deliveries,airbus_deliveries,gap_boeing_minus_airbus
1955,2,0,2
1956,4,0,4
1957,6,0,6
1958,8,0,8
1959,77,0,77
1960,91,0,91
1961,80,0,80
1962,68,0,68
1963,40,0,40
1964,133,0,133
1965,172,0,172
1966,218,0,218
1967,277,0,277
1968,376,0,376
1969,292,0,292
1970,202,0,202
1971,141,0,141
1972,99,0,99
1973,156,0,156
1974,189,4,185
1975,171,8,163
1976,138,13,125
1977,120,15,105
1978,203,15,188
1979,286,26,260
1980,299,39,260
1981,257,38,219
1982,176,46,130
1983,204,36,168
1984,146,48,98
1985,203,42,161
1986,242,29,213
1987,270,32,238
1988,290,61,229
1989,284,105,179
1990,385,95,290
1991,435,163,272
1992,446,157,289
1993,330,138,192
1994,270,123,147
1995,206,124,82
1996,218,126,92
1997,375,182,193
1998,563,229,334
1999,620,294,326
2000,491,311,180
2001,527,325,202
2002,381,303,78
2003,281,305,-24
2004,285,320,-35
2005,290,378,-88
2006,398,434,-36
2007,441,453,-12
2008,375,483,-108
2009,481,498,-17
2010,462,510,-48
2011,477,534,-57
2012,601,588,13
2013,648,626,22
2014,723,629,94
2015,762,635,127
2016,748,688,60
2017,763,718,45
2018,806,800,6
2019,380,863,-483
2020,157,566,-409
2021,340,611,-271
2022,480,661,-181
2023,528,735,-207
2024,348,766,-418
2025,600,793,-193
