year,country,label,voc,gdp_pc_ppp,gdp_pc_unadjusted,pre_tax_gini,post_tax_gini,population
1980,AT,Austria,CME,40147.5193,31415.3636,0.4164,0.3276,7548406
1980,BE,Belgium,CME,39389.5405,30538.5369,0.4232,0.2833,9833093
1980,CH,Switzerland,CME,62149.8654,67629.501,0.406,0.3163,6319846
1980,DE,Germany,CME,38698.794,29777.7545,0.4034,0.3089,78315375
1980,DK,Denmark,CME,42610.4335,35792.9271,0.3703,0.2268,5123081
1980,FI,Finland,CME,33782.1484,28040.8477,0.3933,0.3008,4779350
1980,JP,Japan,CME,26905.4385,15633.4485,0.454,0.3966,118358756
1980,NL,Netherlands,CME,40955.8732,34210.1949,0.3685,0.2615,14162686
1980,NO,Norway,CME,50883.0637,43128.8232,0.3771,0.239,4085604
1980,SE,Sweden,CME,37392.1203,30107.7687,0.3534,0.2275,8310469
1980,AU,Australia,LME,36094.3762,33973.0333,0.42,0.3666,14721347
1980,CA,Canada,LME,39978.2614,33584.5852,0.4204,0.3362,24533776
1980,GB,United Kingdom,LME,30211.5479,26413.3458,0.408,0.3105,56282103
1980,NZ,New Zealand,LME,29692.7401,26736.0557,0.5113,0.4663,3146327
1980,US,United States,LME,39525.5,39525.5,0.454,0.3723,229858655
1981,AT,Austria,CME,39989.8908,31292.0196,0.4165,0.3241,7567556
1981,BE,Belgium,CME,39211.2014,30400.2714,0.4201,0.2767,9850669
1981,CH,Switzerland,CME,62802.969,68340.1875,0.4062,0.3178,6354556
1981,DE,Germany,CME,38837.7454,29884.6741,0.3997,0.3073,78448040
1981,DK,Denmark,CME,42338.5875,35564.5755,0.3718,0.2272,5121629
1981,FI,Finland,CME,34073.1375,28282.3829,0.3859,0.2896,4799848
1981,JP,Japan,CME,27888.3035,16204.5438,0.4486,0.3908,118994053
1981,NL,Netherlands,CME,40349.9182,33704.0443,0.3713,0.2671,14262689
1981,NO,Norway,CME,51518.9699,43667.8215,0.3685,0.2239,4099672
1981,SE,Sweden,CME,37517.0916,30208.3944,0.3501,0.2211,8320458
1981,AU,Australia,LME,36734.4327,34575.4723,0.4203,0.3666,14949202
1981,CA,Canada,LME,40849.0533,34316.1124,0.411,0.327,24844974
1981,GB,United Kingdom,LME,29961.5464,26194.7746,0.408,0.3025,56304592
1981,NZ,New Zealand,LME,30721.3501,27662.2408,0.5107,0.4671,3159840
1981,US,United States,LME,40119.6,40119.6,0.4605,0.3842,232201617
1982,AT,Austria,CME,40769.5276,31902.0839,0.4166,0.3263,7573078
1982,BE,Belgium,CME,39402.8329,30548.8424,0.4153,0.2705,9862327
1982,CH,Switzerland,CME,61626.9947,67060.5298,0.4074,0.3164,6391804
1982,DE,Germany,CME,38711.2104,29787.3086,0.3963,0.3069,78393674
1982,DK,Denmark,CME,43930.6446,36901.9095,0.3708,0.2295,5117894
1982,FI,Finland,CME,34932.5251,28995.7171,0.3884,0.2892,4826882
1982,JP,Japan,CME,28693.5513,16672.4344,0.4467,0.3888,119485775
1982,NL,Netherlands,CME,39651.4314,33120.6025,0.3742,0.2698,14333900
1982,NO,Norway,CME,51451.1169,43610.308900000004,0.3659,0.2221,4114736
1982,SE,Sweden,CME,37964.0502,30568.2811,0.3599,0.2269,8325183
1982,AU,Australia,LME,36276.2467,34144.2149,0.4254,0.3756,15192485
1982,CA,Canada,LME,39082.8359,32832.3641,0.4085,0.3233,25140164
1982,GB,United Kingdom,LME,30565.7166,26722.9884,0.4088,0.3001,56292755
1982,NZ,New Zealand,LME,31005.4082,27918.0135,0.5154,0.4714,3185123
1982,US,United States,LME,38996.3,38996.3,0.4677,0.3969,234583152
1983,AT,Austria,CME,42045.0972,32900.215,0.4164,0.3291,7561163
1983,BE,Belgium,CME,39496.0178,30621.0883,0.4152,0.2739,9869132
1983,CH,Switzerland,CME,61751.2058,67195.6924,0.409,0.3146,6419311
1983,DE,Germany,CME,39405.1302,30321.2625,0.4003,0.3139,78224133
1983,DK,Denmark,CME,45101.3096,37885.2726,0.3793,0.2231,5114467
1983,FI,Finland,CME,35800.1898,29715.9215,0.3909,0.2899,4855788
1983,JP,Japan,CME,29589.6584,17193.1188,0.4501,0.39,119948947
1983,NL,Netherlands,CME,40295.0417,33658.2063,0.3832,0.2848,14396901
1983,NO,Norway,CME,53319.0333,45193.5672,0.3589,0.229,4128336
1983,SE,Sweden,CME,38668.2558,31135.3005,0.3633,0.228,8328915
1983,AU,Australia,LME,36212.6452,34084.3514,0.421,0.3689,15414893
1983,CA,Canada,LME,39669.602,33325.2894,0.4136,0.327,25412608
1983,GB,United Kingdom,LME,31833.9532,27831.782,0.414,0.3048,56332058
1983,NZ,New Zealand,LME,31560.3171,28417.6668,0.5278,0.4433,3219278
1983,US,United States,LME,40370.3,40370.3,0.4803,0.4109,236986365
1984,AT,Austria,CME,42069.2422,32919.1084,0.416,0.3296,7560715
1984,BE,Belgium,CME,40447.8058,31359.0053,0.4162,0.2789,9874586
1984,CH,Switzerland,CME,63380.8519,68969.0212,0.4116,0.319,6442422
1984,DE,Germany,CME,40634.9056,31267.544,0.397,0.3091,77998198
1984,DK,Denmark,CME,47004.557,39484.0076,0.3823,0.2239,5111831
1984,FI,Finland,CME,36758.2552,30511.1629,0.3829,0.2842,4881825
1984,JP,Japan,CME,30809.9297,17902.1594,0.454,0.3931,120384394
1984,NL,Netherlands,CME,41339.4947,34530.6316,0.3857,0.2936,14462807
1984,NO,Norway,CME,56387.1468,47794.1206,0.3617,0.2343,4139972
1984,SE,Sweden,CME,40267.1067,32422.6795,0.3721,0.2358,8336487
1984,AU,Australia,LME,37492.1909,35288.6954,0.4235,0.3666,15620653
1984,CA,Canada,LME,41591.5418,34939.8556,0.4145,0.3298,25670375
1984,GB,United Kingdom,LME,32487.4582,28403.1282,0.4207,0.3117,56451313
1984,NZ,New Zealand,LME,32669.7963,29416.6685,0.5204,0.476,3249828
1984,US,United States,LME,42863.5,42863.5,0.4889,0.4267,239353967
1985,AT,Austria,CME,43097.6,33723.7965,0.4172,0.33,7564309
1985,BE,Belgium,CME,41089.7158,31856.6753,0.4294,0.2885,9880337
1985,CH,Switzerland,CME,65415.8937,71183.4888,0.4139,0.3233,6470957
1985,DE,Germany,CME,41652.7663,32050.7623,0.3995,0.3066,77863424
1985,DK,Denmark,CME,48866.8664,41048.3546,0.3883,0.2313,5113880
1985,FI,Finland,CME,37898.6736,31457.7664,0.3866,0.2833,4902261
1985,JP,Japan,CME,32302.2077,18769.25,0.4621,0.4012,120832163
1985,NL,Netherlands,CME,42183.9762,35236.0219,0.3862,0.2875,14538959
1985,NO,Norway,CME,59340.4569,50297.3659,0.3644,0.2386,4152400
1985,SE,Sweden,CME,41069.2859,33068.5864,0.371,0.2216,8350244
1985,AU,Australia,LME,38687.289,36413.5552,0.4263,0.3654,15835747
1985,CA,Canada,LME,43129.964,36232.2397,0.4172,0.3269,25927465
1985,GB,United Kingdom,LME,33742.0951,29500.0319,0.4236,0.3082,56606414
1985,NZ,New Zealand,LME,33251.5938,29940.533,0.5086,0.465,3268028
1985,US,United States,LME,44219.1,44219.1,0.4908,0.428,241690443
1986,AT,Austria,CME,44050.7789,34469.6574,0.4176,0.3277,7569395
1986,BE,Belgium,CME,41801.9645,32408.8786,0.438,0.2959,9886984
1986,CH,Switzerland,CME,66272.0014,72115.0779,0.4127,0.3167,6504750
1986,DE,Germany,CME,42572.5518,32758.5143,0.4049,0.307,77923807
1986,DK,Denmark,CME,51195.1901,43004.1555,0.3775,0.2101,5120688
